study,response,value_pct
"Voice of Children and ECPAT Luxembourg, Kathmandu Valley, 2017 (n=452)",Did not know what to do or what services existed,72.1
"Voice of Children and ECPAT Luxembourg, Kathmandu Valley, 2017 (n=452)",Blocked the person,21
"Voice of Children and ECPAT Luxembourg, Kathmandu Valley, 2017 (n=452)",Told a close friend,11
"Voice of Children and ECPAT Luxembourg, Kathmandu Valley, 2017 (n=452)",Reported to police,8
"Terre des Hommes child-led research, Bagmati and Gandaki (n=443)",Confide in friends,31.6
"Terre des Hommes child-led research, Bagmati and Gandaki (n=443)",Discuss with parents,27.5
"Terre des Hommes child-led research, Bagmati and Gandaki (n=443)",Keep it private,20
"ChildSafeNet parent survey, Kathmandu and Lalitpur, 2025 (n=900 parents)",Never discussed online sexual abuse with their children,85
"ChildSafeNet parent survey, Kathmandu and Lalitpur, 2025 (n=900 parents)",Unaware of online safety issues affecting children,92
"ChildSafeNet parent survey, Kathmandu and Lalitpur, 2025 (n=900 parents)",Never used parental control tools,73
